DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID
30742;1;2015;11;"2670615";2.00;67.41;65.86;79.34;0.00;123798
33742;1;2015;11;"1910815";1.00;694.74;693.79;794.84;0.00;123798
67336;1;2015;11;"6660915";2.00;549.71;612.90;692.85;0.00;123798
55524;1;2015;11;"1290915";5.00;22.30;25.14;30.20;0.00;123798
51519;1;2015;11;"250815";10.00;33.33;34.80;42.37;0.00;123798
28308;1;2015;11;"740815";5.00;18.73;17.27;21.50;0.00;123798
65267;1;2015;11;"660415";50.00;4.50;5.04;6.00;0.00;123798
49977;1;2015;11;"T500865";2.00;288.20;308.37;366.00;0.00;123798
43792;1;2015;11;"60715";2.00;17.14;18.71;22.60;0.00;123798
58031;1;2015;11;"01150939";1.00;51.81;53.78;64.14;0.00;123798
25770;1;2015;11;"740715";3.00;21.70;24.94;29.80;0.00;118361
45860;1;2015;11;"2050715";10.00;24.48;23.46;29.00;0.00;118361
32357;1;2015;11;"790915";10.00;23.61;22.39;27.70;0.00;118361
65179;1;2015;11;"30415";5.00;15.88;16.84;20.40;0.00;118361
52274;1;2015;11;"10115";2.00;13.84;15.31;18.40;0.00;118361
49048;1;2015;11;"1650915";20.00;4.95;5.67;6.70;0.00;118361
29398;1;2015;11;"FG7846";2.00;307.13;304.79;366.20;0.00;118361
23910;1;2015;11;"140915";2.00;12.10;13.64;16.30;0.00;118361
52490;1;2015;11;"A400947";1.00;158.90;164.18;195.90;0.00;118361
52512;1;2015;11;"J5017";2.00;42.14;42.55;52.10;0.00;118361
31276;1;2015;11;"A35052";3.00;83.47;95.92;112.61;0.00;16860
47867;1;2015;11;"T0083D";1.00;185.64;193.60;230.72;0.00;16860
68733;1;2015;11;"06150917";30.00;44.36;46.97;57.05;0.00;16860
66151;1;2015;11;"197696";2.00;259.94;269.17;340.00;0.00;16860
28000;1;2015;11;"5V025";2.00;252.73;255.09;305.63;0.00;16860
22763;1;2015;11;"S95706";3.00;111.25;105.60;135.50;0.00;16860
64956;1;2015;11;"0720515";1.00;406.30;397.21;508.00;0.00;16860
39147;1;2015;11;"0400215";1.00;680.58;712.03;835.50;0.00;16860
66894;1;2015;11;"464";3.00;160.12;156.97;188.99;0.00;16860
48184;1;2015;11;"5N1541";10.00;99.55;109.90;129.80;0.00;124097
51631;1;2015;11;"14VM0615";5.00;27.71;27.52;33.80;0.00;124097
66479;1;2015;11;"34026";1.00;185.04;129.80;166.80;0.00;124097
49991;1;2015;11;"61025";1.00;104.09;106.65;127.40;0.00;124097
68789;1;2015;11;"514861";1.00;151.90;165.53;195.90;0.00;124097
47592;1;2015;11;"519166";5.00;101.27;110.09;130.30;0.00;124097
331;1;2015;11;"186272";1.00;104.10;110.53;131.30;0.00;124097
48184;1;2015;11;"5N1541";5.00;99.55;109.91;129.80;0.00;124097
46057;1;2015;11;"1850515";2.00;86.71;82.48;99.80;0.00;124097
68094;1;2015;11;"9181703";1.00;48.76;49.12;60.20;0.00;124097
23849;1;2015;11;"4C059A";1.00;276.69;272.78;328.10;0.00;124097
51259;1;2015;11;"16312115";2.00;161.63;171.36;203.60;0.00;124097
26863;1;2015;11;"160215";5.00;14.84;15.93;19.00;0.00;118361
68688;1;2015;11;"4G043A";3.00;35.49;36.93;44.00;0.00;118361
48172;1;2015;11;"5E1573";5.00;98.24;99.72;119.00;0.00;124097
48184;1;2015;11;"5N1541";5.00;99.55;109.90;129.00;0.00;124097
51631;1;2015;11;"14VM0615";5.00;27.71;27.52;33.80;0.00;124097
35996;1;2015;11;"Y00218";1.00;135.16;142.54;169.50;0.00;124097
31666;1;2015;11;"C500578";2.00;39.46;41.46;50.40;0.00;124097
68553;1;2015;11;"060415";1.00;99.99;101.48;121.40;0.00;124097
174;1;2015;11;"080215";1.00;18.35;19.58;23.70;0.00;124097
43752;1;2015;11;"BR352";3.00;77.50;84.24;99.70;0.00;124097
31666;1;2015;11;"C500578";2.00;39.46;41.46;50.40;0.00;124097
66410;1;2015;11;"485";2.00;75.67;75.63;90.00;0.00;124097
51612;1;2015;11;"K08036";2.00;123.02;128.74;153.00;0.00;124097
57869;1;2015;11;"1554N0215";2.00;87.95;91.08;108.00;0.00;124097
51749;1;2015;11;"DD9W";2.00;118.15;123.36;155.50;0.00;123798
47990;1;2015;11;"349545";1.00;550.54;583.89;663.96;0.00;123798
46125;1;2015;11;"05150769";20.00;44.36;46.14;56.22;0.00;123798
48184;1;2015;11;"5N1541";1.00;99.55;109.90;129.00;0.00;124097
52515;1;2015;11;"710415";1.00;85.76;82.04;99.00;0.00;124097
55258;1;2015;11;"BTAFWA0";1.00;106.10;109.23;130.00;0.00;124097
9561;1;2015;11;"736230";1.00;112.88;118.06;140.00;0.00;124097
51631;1;2015;11;"14VM0615";10.00;27.71;27.52;33.00;0.00;124097
51897;1;2015;11;"155864";1.00;224.80;241.54;286.00;0.00;124097
31666;1;2015;11;"C500578";2.00;39.46;41.46;50.40;0.00;124097
52121;1;2015;11;"8920613";1.00;226.13;232.89;278.00;0.00;124097
43752;1;2015;11;"BR352";3.00;77.50;84.24;99.00;0.00;124097
51612;1;2015;11;"K08037";2.00;123.02;128.74;153.00;0.00;124097
26656;1;2015;11;"33-60915";5.00;111.57;114.65;136.96;0.00;118361
51069;1;2015;11;"1020815";28.00;25.45;25.54;31.32;0.00;118361
51350;1;2015;11;"05150721";5.00;86.79;92.54;109.89;0.00;118361
37064;1;2015;11;"267A0415";5.00;102.78;105.11;125.66;0.00;118361
29398;1;2015;11;"FG7846";1.00;307.13;304.79;366.00;0.00;118361
68700;1;2015;11;"071214";1.00;124.43;136.50;161.00;0.00;118361
49048;1;2015;11;"1650915";50.00;4.95;5.67;6.50;0.00;118361
12983;1;2015;11;"32070715";5.00;24.29;23.06;28.50;0.00;118361
45860;1;2015;11;"2050715";30.00;24.48;23.47;29.03;0.00;118361
49467;1;2015;11;"33020";1.00;293.65;230.60;289.32;0.00;118361
67777;1;2015;11;"B501190";10.00;87.29;87.20;104.65;0.00;118361
4196;1;2015;11;"52019";10.00;96.17;98.04;117.27;0.00;124097
